document_id,category,confidence,explanation,document_types_0,document_types_1,document_types_2,document_types_3,document_types_4,primary_subjects_0,ddc_classifications_0,summarys_0,topics_0,topics_1,topics_2,topics_3,topics_4,topics_5,topics_6,topics_7,topics_8,topics_9,categorys_0,categorys_1,categorys_2,categorys_3,categorys_4,categorys_5,monetarys_0,monetarys_1,monetarys_2,monetarys_3,monetarys_4,monetarys_5,monetarys_6,monetarys_7,monetarys_8,monetarys_9,scopess_0,scopess_1,scopess_2,namess_0,sensitivitys_0,namess_1,messages_0,categorys_6,categorys_7,categorys_8,date_and_timess_0,emailss_0,emailss_1,sensitivitys_1,sensitivitys_2,date_and_timess_1,date_and_timess_2,namess_2,monetarys_10,monetarys_11,monetarys_12,monetarys_13,monetarys_14,monetarys_15,monetarys_16,monetarys_17,monetarys_18,monetarys_19,monetarys_20,monetarys_21,monetarys_22,monetarys_23,monetarys_24,monetarys_25,monetarys_26,monetarys_27,monetarys_28,monetarys_29,monetarys_30,monetarys_31,monetarys_32,monetarys_33,monetarys_34,namess_3,namess_4,namess_5,namess_6,namess_7,namess_8,namess_9,namess_10,namess_11,namess_12,namess_13,namess_14,namess_15,namess_16,namess_17,namess_18,namess_19,namess_20,namess_21,namess_22,namess_23,namess_24,namess_25,namess_26,namess_27,namess_28,namess_29,namess_30,namess_31,namess_32,namess_33,namess_34,categorys_9,categorys_10,categorys_11,categorys_12,categorys_13,categorys_14,categorys_15,categorys_16,categorys_17,categorys_18,categorys_19,categorys_20,categorys_21,categorys_22,categorys_23,categorys_24,categorys_25,categorys_26,categorys_27,categorys_28,categorys_29,categorys_30,categorys_31,categorys_32,date_and_timess_3,date_and_timess_4,date_and_timess_5,date_and_timess_6,date_and_timess_7,date_and_timess_8,date_and_timess_9,date_and_timess_10,date_and_timess_11,date_and_timess_12,date_and_timess_13,date_and_timess_14,date_and_timess_15,date_and_timess_16,date_and_timess_17,date_and_timess_18,date_and_timess_19,date_and_timess_20,date_and_timess_21,date_and_timess_22,date_and_timess_23,scopess_3,scopess_4
71196,Public,90%,Contains design elements and general info without sensitive data.,Header,Watermark,,,,Document Header Design,745.5 - Graphic Design,This document contains a header with a watermark labeled 'DRAFT'.,Document formatting,Watermark usage,Header design,Graphic design principles,Office document standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72119,Restricted,85%,Operational expenditure details including costs which are sensitive.,Financial Report,Budget Plan,Expense Report,,,Operational Expenditure (Opex) for 2025,658.15 - Financial Management,"This document outlines the operational expenditure (Opex) for the year 2025, detailing various IT tools, communication services, and maintenance costs. It includes specific expenses related to onboarding, software licenses, and communication services, with a total expenditure of 27,573.5.",Operational Expenditure,IT Tools,Communication Services,Budget Planning,Expense Tracking,Onboarding Costs,Software Licenses,Maintenance Costs,Annual Budget,Financial Management,Onboarding Expenses (US),Onboarding Expenses (Baltics),Onboarding Expenses (Israel),Google WorkSpace (Terasky),Google WorkSpace (skywiz.io),CloudAlly,Google WorkSpace (Terasky): 29808,Google WorkSpace (skywiz.io): 1944,CloudAlly: 10436,Zoom: 3948,1Password (Annual): 8150,DocuSign (Annual): 8269,Grammerly: 3900,Adobe: 4500,GoDaddy: 83.5,AWS - IT: 72000,Budget for IT tools,Communication services,Office maintenance,Terasky,,skywiz.io,,Zoom,1Password (Annual),DocuSign (Annual),2025-01-01: Start of Opex tracking,,,,,2025-12-01: End of Opex tracking,,CloudAlly,GitHub (Annual): 2352,Microsoft Office Timeline: 298,Microsoft office 365: 24168,Phone (Bezeq): 270,Phone (Partner): 1068,Internet services (Partner): 10728,YES Sting TV: 1188,Printers - rental and maintenance: 3672,Atlassian (Confluence & jira): 10236,lucid: 3996,Monday (Annual): 14400,slack: 6000,Think cell: 316,TripleC: 271.2,Open AI: 120,Chat GPT: 7200,OsTickets: 288,Snipe-it: 480,Coefficient: 1188,CISO Services: 10248,Server Room (one time): 224500,Apollo: 1920,Linkedin: 20160,Smartsheet.com (Keren): 1104,Laptop repairs: 8000,Zoom,1Password,DocuSign,Grammerly,Adobe,GoDaddy,AWS,GitHub,Microsoft,Bezeq,Partner,YES,Atlassian,lucid,Monday,slack,Open AI,Chat GPT,OsTickets,Snipe-it,Coefficient,CISO Services,Apollo,Linkedin,Smartsheet.com,,,,,,,,Grammerly,Adobe,GoDaddy,AWS - IT,Microsoft Office 365,Phone (Bezeq),Phone (Partner),Internet services (Partner),YES Sting TV,Printers - rental and maintenance,Atlassian (Confluence & jira),lucid,Monday (Annual),slack,Chat GPT,OsTickets,Snipe-it,CISO Services,Server Room (one time),Apollo,Linkedin,Smartsheet.com (Keren),Laptop repairs,Total Opex for 2025: 27573.5,,,,,,,,,,,,,,,,,,,,,,,
75701,Public,90%,"Outlines relationships for slides, contains no sensitive info.",XML Document,Office Document Relationships,Slide Presentation,Media References,Notes Slide,Relationships in Office Document,"005.5 - Computer Programming, Programs and Data","This XML document outlines the relationships for a slide presentation, including slide layouts, notes slides, and various media images.",Office document structure,Slide layouts,Notes slides,Media references,XML schema,Image relationships,Document packaging,OpenXML formats,Presentation design,File organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27011,Public,90%,Details relationships in a generic office setting without sensitive content.,XML Document,Office Document Relationships,Slide Relationships,,,Office document relationships,"005.5 - Computer programming, programs and data","This XML document defines relationships for an Office document, including slide layouts, notes slides, and images.",Office document structure,XML relationships,Slide layouts,Notes slides,Media references,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79373,Restricted,85%,Legal agreements often contain sensitive business and operational information.,Legal Agreement,Service Agreement,Reseller Agreement,Partnership Agreement,Confidentiality Agreement,Amazon Web Services Reseller Agreement,005.8 - Information Technology,"This document is an agreement between TeraSky Baltic, UAB and a Service Recipient for the resale of Amazon Web Services. It outlines the terms of service, pricing, payment, and confidentiality obligations.",Amazon Web Services,Service Provider,Service Recipient,Authorized Services,Data Privacy,Pricing and Payment,Confidentiality,Indemnification,Termination,Liability Limitations,Service Agreement,Confidentiality Agreement,Indemnification Clause,Termination Clause,Service Provider Details,Service Recipient Details,"50,000 EUR - Monthly consumption threshold for special discount",,,,,,,,,,Resale of AWS services,Service Recipient's Account management,Data processing obligations,"TeraSky Baltic, UAB",,"Amazon Web Services, Inc.",,Pricing Terms,Payment Terms,Fees,Effective Date: 2024-08-26,,,,,,,[Company],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Payment Obligations,Invoicing Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80695,Confidential,70%,Certification document for partnership likely contains sensitive business details.,Partnership Agreement,Certification Document,Business Proposal,,,HashiCorp Certified Implementation Partner,658.8 - Business Management,"This document certifies that Vv Vault is a certified implementation partner of HashiCorp, indicating their capability to implement HashiCorp solutions.",HashiCorp Partnership,Implementation Services,Certification Process,Partner Network,Business Collaboration,,,,,,Partnership Agreement,Business Proposal,,,,,,,,,,,,,,,Implementation of HashiCorp solutions,Partnership responsibilities,,Vv Vault,,HashiCorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81395,Internal,70%,Detailed analysis report containing performance metrics that are sensitive.,Data Report,Performance Metrics,Time Series Analysis,,,RTBPS Memory Performance,004.6 - Data Analysis,"This document provides a detailed time series analysis of RTBPS memory performance over a 90-day period, including krtbps measurements at various times. The data shows fluctuations in performance metrics, with specific timestamps indicating performance trends.",RTBPS Memory,Performance Metrics,Time Series Data,Data Analysis,Krtbps Measurements,,,,,,,,,,,,,,,,,,,,,,Performance Monitoring,Data Collection,Analysis Period,,,,,,,,2025-06-24 08:00:00 - Initial Measurement,,,,,2025-07-10 20:00:00 - Last Recorded Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87399,Restricted,80%,Includes pricing and contractual obligations which are sensitive business information.,Service Agreement,Pricing Proposal,Contract,Order Form,Quotation,Google SecOps Enterprise EU Services,658.8 - Business Management,"This document outlines the pricing and terms for Google SecOps Enterprise EU services for two options, detailing order types, billing frequency, service start and end dates, and total fees for different units.",Google SecOps Services,Pricing Structure,Billing Frequency,Service Duration,Discount Rates,Total Fees Calculation,Order Types,Service Start Dates,Service End Dates,Units of Service,Service Agreement,Pricing Proposal,Order Form,Total Fees,List Price per Unit,Discount,8400 - Total Fees for Option 1,16800 - Total Fees for Option 2,14500 - Annual Fees for Option 1 SO,24000 - Annual Fees for Option 2 SO,,,,,,,Service Coverage,Billing Terms,Service Duration,Google,,,,,,,2025-11-01 00:00:00 - Services Start Date for both options,,,,,2026-10-31 00:00:00 - Services End Date for both options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82415,Public,75%,Technical document stating build configurations generally not containing sensitive info.,Build Configuration,Bazel Script,Toolchain Definition,,,Bazel build configuration for toolchains,005.1 - Computer Science,"This document defines Bazel build configurations for GCC and LLVM toolchains, including platform settings for Linux x86_64 and aarch64.",Bazel build system,Toolchain configuration,Platform settings,GCC toolchain,LLVM toolchain,Constraint settings,Filegroup definition,Sanitizers configuration,Cross-platform builds,Visibility settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83602,Internal,65%,Source code documentation that may reveal project-specific information.,Source Code,Go Package,Library,NATS Client,Message Bus,NATS message bus connection management,004.6 - Software Engineering,"This Go package provides functionality to connect to a NATS message bus, handling SSL configurations and error logging.",NATS connection,SSL configuration,Error handling,Logging,Client certificates,TLS settings,Message bus,Go programming,Configuration management,Dependency management,,,,,,,,,,,,,,,,,NATS message bus,Client connection,Error handling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84791,Internal,65%,Deployment scripts may contain sensitive operational information.,Source Code,Go Package,Deployment Script,,,Skaffold deployment implementation,005.13 - Software Engineering,"This Go package implements a deployment step using Skaffold for managing Kubernetes workloads. It includes methods for building images, rendering YAML configurations, and applying patches. The package is part of the Pixie project, which focuses on performance testing.",Kubernetes deployment,Skaffold integration,Go programming,Performance testing,Image building,YAML rendering,Patch application,Command execution,Error handling,Logging,,,,,,,,,,,,,,,,,Deployment,Image building,YAML rendering,Pixie Authors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84253,Public,85%,Overview of tracepoints without any sensitive or private information.,Overview,Technical Document,User Guide,,,Tracepoint Information,004.6 - Data Processing,"This document provides an overview of tracepoints running on the cluster, detailing their functionality and usage.",Cluster Management,Tracepoint Functionality,Data Monitoring,Performance Analysis,System Diagnostics,,,,,,,,,,,,,,,,,,,,,,Cluster Operations,Monitoring Responsibilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82970,Restricted,80%,Financial performance analysis with revenue details considered sensitive.,Financial Report,Data Analysis,Performance Metrics,,,Monthly Financial Performance Analysis,330 - Economics,"This document provides a financial performance analysis for four entities: Webint, Analytics, Blink, and Luminar, detailing their monthly revenue from September 2022 to February 2023.",Monthly revenue analysis,Financial performance,Entity comparison,Data trends,Revenue growth,Financial metrics,Periodical analysis,Business performance,Statistical data,Financial forecasting,Webint,Analytics,Blink,Luminar,Monthly revenue,,Webint revenue: 61618.82,Webint revenue: 78764.56,Webint revenue: 79568.27,Webint revenue: 68463.87,Webint revenue: 65703.59,Webint revenue: 56814.18,Analytics revenue: 42359.90,Analytics revenue: 46647.82,Analytics revenue: 55874.25,Analytics revenue: 64548.18,Financial analysis,Revenue tracking,Performance evaluation,Webint,,Analytics,,,,,2022-09-01: Webint revenue: 61618.82,,,,,2022-10-01: Webint revenue: 78764.56,2022-11-01: Webint revenue: 79568.27,Blink,Analytics revenue: 70097.05,Analytics revenue: 59536.87,Blink revenue: 24936.16,Blink revenue: 23486.53,Blink revenue: 23180.67,Blink revenue: 23121.47,Blink revenue: 23862.77,Blink revenue: 28880.64,Luminar revenue: 10709.52,Luminar revenue: 11606.27,Luminar revenue: 11281.90,Luminar revenue: 12055.50,Luminar revenue: 13357.86,Luminar revenue: 13903.09,,,,,,,,,,,,Luminar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-01: Webint revenue: 68463.87,2023-01-01: Webint revenue: 65703.59,2023-02-01: Webint revenue: 56814.18,2022-09-01: Analytics revenue: 42359.90,2022-10-01: Analytics revenue: 46647.82,2022-11-01: Analytics revenue: 55874.25,2022-12-01: Analytics revenue: 64548.18,2023-01-01: Analytics revenue: 70097.05,2023-02-01: Analytics revenue: 59536.87,2022-09-01: Blink revenue: 24936.16,2022-10-01: Blink revenue: 23486.53,2022-11-01: Blink revenue: 23180.67,2022-12-01: Blink revenue: 23121.47,2023-01-01: Blink revenue: 23862.77,2023-02-01: Blink revenue: 28880.64,2022-09-01: Luminar revenue: 10709.52,2022-10-01: Luminar revenue: 11606.27,2022-11-01: Luminar revenue: 11281.90,2022-12-01: Luminar revenue: 12055.50,2023-01-01: Luminar revenue: 13357.86,2023-02-01: Luminar revenue: 13903.09,,
86729,Restricted,80%,SOW between entities containing specific project details and costs considered sensitive.,Statement of Work,Contract,Agreement,Proposal,Work Plan,Statement of Work between TeraSky Baltic and carVertical,658.4 - Project Management,"This Statement of Work (SOW) outlines the agreement between TeraSky Baltic and carVertical for the implementation of the Agentspace platform to enhance automation capabilities. The SOW includes project scope, deliverables, timelines, and costs.",Agentspace platform,Automation capabilities,Digital transformation,Cloud services,Workshops delivery,Technical discovery,Use case development,Project roles,Costs and budget,Success criteria,Workshops delivery for Agentspace,Technical discovery of workloads,Solution proposal workshops,Integration with identity provider,Knowledge transfer sessions,"Total project cost: $5,980","Total project cost: $5,980","Solutions Architect: $2,600","Engineer: $3,380",,,,,,,,Workshops delivery,Technical discovery,Implementation of Agentspace,TeraSky Baltic,,carVertical,,"Solutions Architect: $2,600","Engineer: $3,380",,"SOW Effective/Start Date: June 14, 2025",,,,,"SOW End Date: July 26, 2025",,Dmitrijus Kirjackis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customer engagement,Project management
